Column1,CIK,CONAME,FDATE,FORM,FYRMO,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
10,3662,SUNBEAM CORP/FL/,5/17/1999,NT 10-Q,199905,edgar/data/3662/0000950172-99-000584.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3662,SUNBEAM CORP/FL/,6/11/1999,10-Q,199906,edgar/data/3662/0000950170-99-001005.txt,31,60,-0.318681315,23,0.412175874,9.364870349,1828,4435,119,29,0.006989853,0.013528749,0.026832018,0.006538895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
12,3662,SUNBEAM CORP/FL/,8/16/1999,NT 10-Q,199908,edgar/data/3662/0000950172-99-001074.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3662,SUNBEAM CORP/FL/,8/19/1999,10-Q,199908,edgar/data/3662/0000950170-99-001361.txt,67,129,-0.316326529,21,0.404690071,8.561876029,2951,7292,158,51,0.009188151,0.01769062,0.021667581,0.006993966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
14,3662,SUNBEAM CORP/FL/,11/8/1999,10-K/A,199911,edgar/data/3662/0000889812-99-003241.txt,0,0,0,21,0.416107383,8.566442953,62,149,4,0,0,0,0.026845638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3662,SUNBEAM CORP/FL/,11/8/1999,10-Q/A,199911,edgar/data/3662/0000950170-99-001639.txt,69,144,-0.352112674,21,0.401101011,8.560440405,3133,7811,171,59,0.008833696,0.01843554,0.021892203,0.00755345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
16,3662,SUNBEAM CORP/FL/,11/8/1999,10-Q/A,199911,edgar/data/3662/0000950170-99-001640.txt,40,127,-0.520958081,24,0.409054551,9.763621821,2557,6251,150,48,0.006398976,0.020316749,0.023996161,0.007678771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
17,3662,SUNBEAM CORP/FL/,11/15/1999,NT 10-Q,199911,edgar/data/3662/0000950172-99-001626.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3662,SUNBEAM CORP/FL/,11/19/1999,10-Q,199911,edgar/data/3662/0000950170-99-001856.txt,73,154,-0.356828192,23,0.401097561,9.360439024,3289,8200,173,59,0.008902439,0.018780488,0.021097561,0.007195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
19,3982,ALLIS CHALMERS ENERGY INC.,3/22/2006,10-K,200603,edgar/data/3982/0000950129-06-002926.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3982,ALLIS CHALMERS ENERGY INC.,5/1/2006,10-K/A,200605,edgar/data/3982/0000950129-06-004690.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3982,ALLIS CHALMERS ENERGY INC.,5/10/2006,10-Q,200605,edgar/data/3982/0000950129-06-005244.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3982,ALLIS CHALMERS ENERGY INC.,7/24/2006,10-K/A,200607,edgar/data/3982/0000950129-06-007243.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3982,ALLIS CHALMERS ENERGY INC.,7/24/2006,10-Q/A,200607,edgar/data/3982/0000950129-06-007244.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3982,ALLIS CHALMERS ENERGY INC.,8/14/2006,10-Q,200608,edgar/data/3982/0000950129-06-007871.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3982,ALLIS CHALMERS ENERGY INC.,11/8/2006,10-Q,200611,edgar/data/3982/0000950129-06-009522.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,106,-0.547445251,28,0.469377756,11.3877511,958,2041,106,40,0,0,0,0,40
26,3982,ALLIS CHALMERS ENERGY INC.,12/29/2006,10-Q/A,200612,edgar/data/3982/0000950134-06-023819.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3982,ALLIS CHALMERS ENERGY INC.,3/15/2007,10-K,200703,edgar/data/3982/0000950129-07-001381.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,80,-0.088435374,18,0.376178363,7.350471345,2514,6683,79,50,0,0,0,0,50
28,3982,ALLIS CHALMERS ENERGY INC.,5/10/2007,10-Q,200705,edgar/data/3982/0000950129-07-002432.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.9999995,12,0.446808511,4.978723404,21,47,1,1,0,0,0,0,1
29,3982,ALLIS CHALMERS ENERGY INC.,8/9/2007,10-Q,200708,edgar/data/3982/0000950129-07-003918.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.9999995,12,0.458333333,4.983333333,22,48,1,1,0,0,0,0,1
30,3982,ALLIS CHALMERS ENERGY INC.,11/6/2007,10-Q,200711,edgar/data/3982/0000950129-07-005361.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.9999995,12,0.458333333,4.983333333,22,48,1,1,0,0,0,0,1
31,3982,ALLIS CHALMERS ENERGY INC.,3/7/2008,10-K,200803,edgar/data/3982/0000950129-08-001569.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,84,-0.127516778,18,0.376351351,7.350540541,2785,7400,94,63,0,0,0,0,63
32,3982,ALLIS CHALMERS ENERGY INC.,4/29/2008,10-K/A,200804,edgar/data/3982/0000950129-08-002507.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4447,AMERADA HESS CORP,11/12/2003,10-Q,200311,edgar/data/4447/0000950123-03-012528.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,1.4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4447,AMERADA HESS CORP,3/12/2004,10-K,200403,edgar/data/4447/0000950123-04-003250.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,1.7,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4447,AMERADA HESS CORP,3/15/2004,10-K/A,200403,edgar/data/4447/0000950123-04-003322.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4447,AMERADA HESS CORP,5/7/2004,10-Q,200405,edgar/data/4447/0000950123-04-005950.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.454545455,2.981818182,10,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,4447,AMERADA HESS CORP,8/6/2004,10-Q,200408,edgar/data/4447/0000950123-04-009350.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.454545455,2.981818182,10,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,4447,AMERADA HESS CORP,11/5/2004,10-Q,200411,edgar/data/4447/0000950123-04-013054.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.454545455,4.581818182,10,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,4447,AMERADA HESS CORP,3/14/2005,10-K,200503,edgar/data/4447/0000950123-05-003078.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4447,AMERADA HESS CORP,5/6/2005,10-Q,200505,edgar/data/4447/0000950123-05-005767.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.454545455,4.581818182,10,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,4447,AMERADA HESS CORP,8/5/2005,10-Q,200508,edgar/data/4447/0000950123-05-009475.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.454545455,4.581818182,10,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,4447,AMERADA HESS CORP,11/7/2005,10-Q,200511,edgar/data/4447/0000950123-05-013153.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.571428571,4.228571429,12,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,4457,AMERCO /NV/,11/8/1999,10-Q,199911,edgar/data/4457/0000004457-99-000043.txt,12,60,-0.666666657,17,0.370475515,6.948190206,1566,4227,33,16,0.002838893,0.014194464,0.007806955,0.00378519,0,0,0,9,0.222222222,3.688888889,8,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
44,4457,AMERCO /NV/,2/10/2000,10-Q,200002,edgar/data/4457/0000004457-00-000018.txt,10,46,-0.642857131,18,0.381910828,7.352764331,1499,3925,29,14,0.002547771,0.011719745,0.007388535,0.003566879,0,0,0,8,0.235294118,3.294117647,8,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
45,4457,AMERCO /NV/,6/29/2000,10-K,200006,edgar/data/4457/0000004457-00-000067.txt,0,1,-0.999999,14,0.373417722,5.749367089,59,158,1,0,0,0.006329114,0.006329114,0,1,2,-0.333333222,14,0.452229299,5.78089172,71,157,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,4457,AMERCO /NV/,8/11/2000,10-Q,200008,edgar/data/4457/0000004457-00-000080.txt,9,35,-0.590909077,19,0.359126984,7.743650794,724,2016,19,11,0.004464286,0.017361111,0.009424603,0.005456349,0,0,0,9,0.25,3.7,9,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
47,4457,AMERCO /NV/,11/13/2000,10-Q,200011,edgar/data/4457/0000004457-00-000105.txt,7,22,-0.517241361,17,0.396528705,6.958611482,891,2247,18,7,0.003115265,0.009790832,0.008010681,0.003115265,0,0,0,9,0.25,3.7,9,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
48,4457,AMERCO /NV/,2/14/2001,10-Q,200102,edgar/data/4457/0000004457-01-500024.txt,7,31,-0.631578931,16,0.411035073,6.564414029,961,2338,19,7,0.002994012,0.013259196,0.008126604,0.002994012,0,0,0,9,0.25,3.7,9,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
49,4457,AMERCO /NV/,7/2/2001,10-K,200107,edgar/data/4457/0000004457-01-500063.txt,17,57,-0.540540533,20,0.365808336,8.146323334,1378,3767,25,13,0.004512875,0.015131404,0.006636581,0.003451022,1,1,0,12,0.474358974,4.98974359,74,156,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
50,4457,AMERCO /NV/,7/2/2001,NT 10-K,200107,edgar/data/4457/0000004457-01-500060.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4457,AMERCO /NV/,8/10/2001,10-Q,200108,edgar/data/4457/0000004457-01-500081.txt,6,19,-0.519999979,17,0.405085748,6.962034299,685,1691,20,10,0.003548196,0.011235955,0.011827321,0.005913661,0,0,0,9,0.25,3.7,9,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
52,4457,AMERCO /NV/,8/10/2001,10-Q/A,200108,edgar/data/4457/0000004457-01-500083.txt,8,39,-0.659574454,17,0.394636015,6.957854406,1030,2610,21,7,0.003065134,0.014942529,0.008045977,0.002681992,0,0,0,9,0.25,3.7,9,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
53,4515,AMERICAN AIRLINES INC,10/16/2008,10-Q,200810,edgar/data/4515/0000004515-08-000073.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,-0.249999996,51,0.402072539,20.56082902,1164,2895,33,56,0,0,0,0,56
54,4515,AMERICAN AIRLINES INC,2/19/2009,10-K,200902,edgar/data/4515/0000004515-09-000008.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4515,AMERICAN AIRLINES INC,4/16/2009,10-Q,200904,edgar/data/4515/0000004515-09-000018.txt,33,70,-0.359223297,51,0.40618382,20.56247353,959,2361,46,25,0.013977128,0.029648454,0.01948327,0.010588734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,-0.181818174,60,0.447916667,24.17916667,215,480,9,13,0,0,0,0,38
56,4515,AMERICAN AIRLINES INC,7/15/2009,10-Q,200907,edgar/data/4515/0000004515-09-000029.txt,60,136,-0.3877551,54,0.382362784,21.75294511,2285,5976,93,91,0.010040161,0.022757697,0.015562249,0.015227577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
57,4515,AMERICAN AIRLINES INC,10/21/2009,10-Q,200910,edgar/data/4515/0000004515-09-000039.txt,35,77,-0.374999997,108,0.398966549,43.35958662,1467,3677,93,49,0.009518629,0.020940984,0.025292358,0.013326081,9,24,-0.454545441,68,0.344887348,27.33795494,398,1154,21,2,0,0,0,0,52,199,-0.585657368,28,0.459672338,11.38386894,1459,3174,120,65,0,0,0,0,116
58,4515,AMERICAN AIRLINES INC,11/6/2009,10-Q/A,200911,edgar/data/4515/0000004515-09-000041.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4515,AMERICAN AIRLINES INC,2/17/2010,10-K,201002,edgar/data/4515/0000004515-10-000006.txt,66,95,-0.180124222,110,0.411095011,44.164438,1986,4831,105,69,0.013661768,0.019664666,0.021734631,0.014282757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,231,-0.593103446,34,0.457545981,13.78301839,1816,3969,164,88,0,0,0,0,157
60,4515,AMERICAN AIRLINES INC,4/21/2010,10-Q,201004,edgar/data/4515/0000004515-10-000016.txt,52,77,-0.193798448,80,0.415418747,32.1661675,1498,3606,81,53,0.01442041,0.0213533,0.022462562,0.014697726,4,8,-0.333333306,203,0.320197044,81.32807882,130,406,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
61,4515,AMERICAN AIRLINES INC,7/21/2010,10-Q,201007,edgar/data/4515/0000950123-10-066865.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,-0.19999998,20,0.357333333,8.142933333,134,375,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
62,4515,AMERICAN AIRLINES INC,10/20/2010,10-Q,201010,edgar/data/4515/0000950123-10-094615.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,-0.19999998,20,0.361643836,8.144657534,132,365,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,4962,AMERICAN EXPRESS CO,4/29/2014,10-Q,201404,edgar/data/4962/0001193125-14-167067.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,-0.399999993,75,0.482845188,30.19313808,577,1195,45,16,0,0,0,0,0,1,-0.999999,11,0.179104478,4.471641791,12,67,10,0,0,0,0,0,16
64,4962,AMERICAN EXPRESS CO,7/30/2014,10-Q,201407,edgar/data/4962/0001193125-14-286961.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,111,-0.720930227,30,0.440400844,12.17616034,835,1896,63,18,0,0,0,0,105,110,-0.023255814,32,0.313244264,12.92529771,4314,13772,150,80,0,0,0,0,98
65,5588,AMERICAN PAD & PAPER CO,11/6/1996,10-Q,199611,edgar/data/5588/0000930661-96-001510.txt,11,6,0.29411763,22,0.355493352,8.942197341,508,1429,17,8,0.007697691,0.00419874,0.011896431,0.005598321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
66,5588,AMERICAN PAD & PAPER CO,3/31/1997,10-K,199703,edgar/data/5588/0000950134-97-002428.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5588,AMERICAN PAD & PAPER CO,5/15/1997,10-Q,199705,edgar/data/5588/0000950134-97-003934.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,5588,AMERICAN PAD & PAPER CO,8/14/1997,10-Q,199708,edgar/data/5588/0000950134-97-006223.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,5588,AMERICAN PAD & PAPER CO,11/14/1997,10-Q,199711,edgar/data/5588/0000950134-97-008577.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5588,AMERICAN PAD & PAPER CO,3/27/1998,10-K,199803,edgar/data/5588/0000950134-98-002477.txt,16,40,-0.428571421,19,0.378637864,7.751455146,1262,3333,36,15,0.00480048,0.0120012,0.01080108,0.00450045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
71,5588,AMERICAN PAD & PAPER CO,5/14/1998,10-Q,199805,edgar/data/5588/0000950134-98-004241.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5588,AMERICAN PAD & PAPER CO,8/14/1998,10-Q,199808,edgar/data/5588/0000950134-98-006988.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.999999,13,0.431372549,5.37254902,22,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,5588,AMERICAN PAD & PAPER CO,11/13/1998,10-Q,199811,edgar/data/5588/0000005588-98-000008.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.999999,12,0.387755102,4.955102041,19,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,5588,AMERICAN PAD & PAPER CO,11/16/1998,10-Q/A,199811,edgar/data/5588/0000005588-98-000010.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5907,AT&T CORP,8/13/1999,10-Q,199908,edgar/data/5907/0000005907-99-000027.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5907,AT&T CORP,11/15/1999,10-Q,199911,edgar/data/5907/0000005907-99-000037.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5907,AT&T CORP,3/27/2000,10-K,200003,edgar/data/5907/0000005907-00-000014.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,5907,AT&T CORP,5/15/2000,10-Q,200005,edgar/data/5907/0000005907-00-000025.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,5907,AT&T CORP,8/14/2000,10-Q,200008,edgar/data/5907/0000005907-00-000031.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5907,AT&T CORP,11/14/2000,10-Q,200011,edgar/data/5907/0000005907-00-000038.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
