CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
4457,AMERCO /NV/,200002,2/10/2000,10-Q,edgar/data/4457/0000004457-00-000018.txt
4457,AMERCO /NV/,200006,6/29/2000,10-K,edgar/data/4457/0000004457-00-000067.txt
4457,AMERCO /NV/,200008,8/11/2000,10-Q,edgar/data/4457/0000004457-00-000080.txt
4457,AMERCO /NV/,200011,11/13/2000,10-Q,edgar/data/4457/0000004457-00-000105.txt
4457,AMERCO /NV/,200102,2/14/2001,10-Q,edgar/data/4457/0000004457-01-500024.txt
4457,AMERCO /NV/,200107,7/2/2001,10-K,edgar/data/4457/0000004457-01-500063.txt
4457,AMERCO /NV/,200107,7/2/2001,NT 10-K,edgar/data/4457/0000004457-01-500060.txt
4457,AMERCO /NV/,200108,8/10/2001,10-Q,edgar/data/4457/0000004457-01-500081.txt
4457,AMERCO /NV/,200108,8/10/2001,10-Q/A,edgar/data/4457/0000004457-01-500083.txt
4515,AMERICAN AIRLINES INC,200810,10/16/2008,10-Q,edgar/data/4515/0000004515-08-000073.txt
4515,AMERICAN AIRLINES INC,200902,2/19/2009,10-K,edgar/data/4515/0000004515-09-000008.txt
4515,AMERICAN AIRLINES INC,200904,4/16/2009,10-Q,edgar/data/4515/0000004515-09-000018.txt
4515,AMERICAN AIRLINES INC,200907,7/15/2009,10-Q,edgar/data/4515/0000004515-09-000029.txt
4515,AMERICAN AIRLINES INC,200910,10/21/2009,10-Q,edgar/data/4515/0000004515-09-000039.txt
4515,AMERICAN AIRLINES INC,200911,11/6/2009,10-Q/A,edgar/data/4515/0000004515-09-000041.txt
4515,AMERICAN AIRLINES INC,201002,2/17/2010,10-K,edgar/data/4515/0000004515-10-000006.txt
4515,AMERICAN AIRLINES INC,201004,4/21/2010,10-Q,edgar/data/4515/0000004515-10-000016.txt
4515,AMERICAN AIRLINES INC,201007,7/21/2010,10-Q,edgar/data/4515/0000950123-10-066865.txt
4515,AMERICAN AIRLINES INC,201010,10/20/2010,10-Q,edgar/data/4515/0000950123-10-094615.txt
4962,AMERICAN EXPRESS CO,201404,4/29/2014,10-Q,edgar/data/4962/0001193125-14-167067.txt
4962,AMERICAN EXPRESS CO,201407,7/30/2014,10-Q,edgar/data/4962/0001193125-14-286961.txt
5588,AMERICAN PAD & PAPER CO,199611,11/6/1996,10-Q,edgar/data/5588/0000930661-96-001510.txt
5588,AMERICAN PAD & PAPER CO,199703,3/31/1997,10-K,edgar/data/5588/0000950134-97-002428.txt
5588,AMERICAN PAD & PAPER CO,199705,5/15/1997,10-Q,edgar/data/5588/0000950134-97-003934.txt
5588,AMERICAN PAD & PAPER CO,199708,8/14/1997,10-Q,edgar/data/5588/0000950134-97-006223.txt
5588,AMERICAN PAD & PAPER CO,199711,11/14/1997,10-Q,edgar/data/5588/0000950134-97-008577.txt
5588,AMERICAN PAD & PAPER CO,199803,3/27/1998,10-K,edgar/data/5588/0000950134-98-002477.txt
5588,AMERICAN PAD & PAPER CO,199805,5/14/1998,10-Q,edgar/data/5588/0000950134-98-004241.txt
5588,AMERICAN PAD & PAPER CO,199808,8/14/1998,10-Q,edgar/data/5588/0000950134-98-006988.txt
5588,AMERICAN PAD & PAPER CO,199811,11/13/1998,10-Q,edgar/data/5588/0000005588-98-000008.txt
5588,AMERICAN PAD & PAPER CO,199811,11/16/1998,10-Q/A,edgar/data/5588/0000005588-98-000010.txt
5907,AT&T CORP,199908,8/13/1999,10-Q,edgar/data/5907/0000005907-99-000027.txt
5907,AT&T CORP,199911,11/15/1999,10-Q,edgar/data/5907/0000005907-99-000037.txt
5907,AT&T CORP,200003,3/27/2000,10-K,edgar/data/5907/0000005907-00-000014.txt
5907,AT&T CORP,200005,5/15/2000,10-Q,edgar/data/5907/0000005907-00-000025.txt
5907,AT&T CORP,200008,8/14/2000,10-Q,edgar/data/5907/0000005907-00-000031.txt
5907,AT&T CORP,200011,11/14/2000,10-Q,edgar/data/5907/0000005907-00-000038.txt
5907,AT&T CORP,200101,1/26/2001,10-K/A,edgar/data/5907/0000005907-01-000002.txt
5907,AT&T CORP,200104,4/2/2001,10-K405,edgar/data/5907/0000005907-01-000012.txt
5907,AT&T CORP,200104,4/17/2001,10-K405/A,edgar/data/5907/0000005907-01-000015.txt
5907,AT&T CORP,200105,5/15/2001,10-Q,edgar/data/5907/0000950123-01-502538.txt
5907,AT&T CORP,200107,7/3/2001,10-Q/A,edgar/data/5907/0000950123-01-504075.txt
5907,AT&T CORP,200108,8/10/2001,10-Q/A,edgar/data/5907/0000950123-01-505366.txt
5907,AT&T CORP,200108,8/14/2001,10-Q,edgar/data/5907/0000950123-01-505598.txt
6071,AMES DEPARTMENT STORES INC,199809,9/2/1998,10-Q,edgar/data/6071/0000006071-98-000023.txt
6071,AMES DEPARTMENT STORES INC,199812,12/10/1998,10-Q,edgar/data/6071/0000006071-98-000026.txt
6071,AMES DEPARTMENT STORES INC,199904,4/5/1999,10-K,edgar/data/6071/0000889812-99-001116.txt
6071,AMES DEPARTMENT STORES INC,199906,6/15/1999,10-Q,edgar/data/6071/0000006071-99-000013.txt
6071,AMES DEPARTMENT STORES INC,199909,9/14/1999,10-Q,edgar/data/6071/0000006071-99-000015.txt
6071,AMES DEPARTMENT STORES INC,199912,12/14/1999,10-Q,edgar/data/6071/0000006071-99-000017.txt
6071,AMES DEPARTMENT STORES INC,200004,4/11/2000,10-K,edgar/data/6071/0000006071-00-000002.txt
6071,AMES DEPARTMENT STORES INC,200006,6/13/2000,10-Q,edgar/data/6071/0000006071-00-000011.txt
6201,AMR CORP,199908,8/16/1999,10-Q,edgar/data/6201/0000006201-99-000023.txt
6201,AMR CORP,199911,11/5/1999,10-Q,edgar/data/6201/0000006201-99-000028.txt
6201,AMR CORP,200003,3/27/2000,10-K405,edgar/data/6201/0000950134-00-002454.txt
6201,AMR CORP,200005,5/11/2000,10-Q,edgar/data/6201/0000006201-00-000009.txt
6201,AMR CORP,200007,7/28/2000,10-Q,edgar/data/6201/0000950134-00-006067.txt
6201,AMR CORP,200010,10/26/2000,10-Q,edgar/data/6201/0000006201-00-000017.txt
6201,AMR CORP,200103,3/22/2001,10-K405,edgar/data/6201/0000950134-01-002483.txt
6201,AMR CORP,200104,4/24/2001,10-Q,edgar/data/6201/0000950134-01-500665.txt
6201,AMR CORP,200108,8/13/2001,10-Q,edgar/data/6201/0000006201-01-500032.txt
6201,AMR CORP,200110,10/25/2001,10-Q,edgar/data/6201/0000006201-01-500047.txt
6201,AMR CORP,200202,2/28/2002,10-K405,edgar/data/6201/0000950134-02-001661.txt
6201,AMR CORP,200204,4/18/2002,10-Q,edgar/data/6201/0000006201-02-000015.txt
6201,AMR CORP,200207,7/19/2002,10-Q,edgar/data/6201/0000006201-02-000035.txt
6201,AMR CORP,200210,10/18/2002,10-Q,edgar/data/6201/0000006201-02-000052.txt
6201,AMR CORP,200210,10/18/2002,10-Q/A,edgar/data/6201/0000950134-02-012680.txt
6201,AMR CORP,200210,10/18/2002,10-Q/A,edgar/data/6201/0000950134-02-012682.txt
6201,AMR CORP,200304,4/1/2003,NT 10-K,edgar/data/6201/0000006201-03-000012.txt
6201,AMR CORP,200304,4/15/2003,10-K,edgar/data/6201/0001047469-03-013301.txt
6201,AMR CORP,200305,5/15/2003,10-Q,edgar/data/6201/0000006201-03-000030.txt
6201,AMR CORP,200307,7/18/2003,10-Q,edgar/data/6201/0000006201-03-000045.txt
6201,AMR CORP,200810,10/16/2008,10-Q,edgar/data/6201/0000006201-08-000060.txt
6201,AMR CORP,200902,2/19/2009,10-K,edgar/data/6201/0000006201-09-000009.txt
6201,AMR CORP,200904,4/16/2009,10-Q,edgar/data/6201/0000006201-09-000016.txt
6201,AMR CORP,200907,7/15/2009,10-Q,edgar/data/6201/0000006201-09-000029.txt
6201,AMR CORP,200910,10/21/2009,10-Q,edgar/data/6201/0000006201-09-000038.txt
6201,AMR CORP,200911,11/6/2009,10-Q/A,edgar/data/6201/0000006201-09-000040.txt
6201,AMR CORP,201002,2/17/2010,10-K,edgar/data/6201/0000006201-10-000006.txt
6201,AMR CORP,201004,4/21/2010,10-Q,edgar/data/6201/0000006201-10-000013.txt
6201,AMR CORP,201007,7/21/2010,10-Q,edgar/data/6201/0000950123-10-066894.txt
6201,AMR CORP,201010,10/20/2010,10-Q,edgar/data/6201/0000950123-10-094605.txt
6260,ANACOMP INC,199402,2/14/1994,10-Q,edgar/data/6260/0000006260-94-000014.txt
6260,ANACOMP INC,199405,5/12/1994,10-Q,edgar/data/6260/0000006260-94-000016.txt
6260,ANACOMP INC,199712,12/29/1997,10-K,edgar/data/6260/0000006260-97-000011.txt
6260,ANACOMP INC,199802,2/17/1998,10-Q,edgar/data/6260/0000006260-98-000001.txt
6260,ANACOMP INC,199805,5/13/1998,10-Q,edgar/data/6260/0000006260-98-000003.txt
6260,ANACOMP INC,199808,8/14/1998,10-Q,edgar/data/6260/0000914121-98-000672.txt
6260,ANACOMP INC,199812,12/29/1998,10-K405,edgar/data/6260/0001047469-98-045227.txt
6260,ANACOMP INC,199902,2/11/1999,10-Q,edgar/data/6260/0000006260-99-000005.txt
6260,ANACOMP INC,199905,5/17/1999,10-Q,edgar/data/6260/0000006260-99-000007.txt
6260,ANACOMP INC,199908,8/13/1999,10-Q,edgar/data/6260/0000006260-99-000010.txt
11860,BETHLEHEM STEEL CORP /DE/,199811,11/12/1998,10-Q,edgar/data/11860/0000011860-98-000022.txt
11860,BETHLEHEM STEEL CORP /DE/,199903,3/24/1999,10-K405,edgar/data/11860/0001021408-99-000543.txt
11860,BETHLEHEM STEEL CORP /DE/,199905,5/14/1999,10-Q,edgar/data/11860/0000011860-99-000025.txt
11860,BETHLEHEM STEEL CORP /DE/,199906,6/29/1999,10-K/A,edgar/data/11860/0000011860-99-000030.txt
11860,BETHLEHEM STEEL CORP /DE/,199908,8/5/1999,10-Q,edgar/data/11860/0000011860-99-000035.txt
11860,BETHLEHEM STEEL CORP /DE/,199911,11/2/1999,10-Q,edgar/data/11860/0000011860-99-000042.txt
11860,BETHLEHEM STEEL CORP /DE/,200003,3/9/2000,10-K,edgar/data/11860/0000011860-00-000019.txt
11860,BETHLEHEM STEEL CORP /DE/,200005,5/3/2000,10-Q,edgar/data/11860/0000011860-00-000022.txt
11860,BETHLEHEM STEEL CORP /DE/,200006,6/28/2000,10-K/A,edgar/data/11860/0000011860-00-000025.txt
11860,BETHLEHEM STEEL CORP /DE/,200007,7/26/2000,10-Q,edgar/data/11860/0000011860-00-000028.txt
11860,BETHLEHEM STEEL CORP /DE/,200010,10/25/2000,10-Q,edgar/data/11860/0000011860-00-000038.txt
12239,SPHERIX INC,200704,4/2/2007,10-K,edgar/data/12239/0001104659-07-024804.txt
12239,SPHERIX INC,200705,5/16/2007,NT 10-Q,edgar/data/12239/0001104659-07-040463.txt
12239,SPHERIX INC,200705,5/18/2007,10-Q,edgar/data/12239/0001104659-07-041441.txt
12239,SPHERIX INC,200705,5/23/2007,10-K/A,edgar/data/12239/0001104659-07-042333.txt
12239,SPHERIX INC,200708,8/14/2007,10-Q,edgar/data/12239/0001104659-07-062470.txt
